turnid	ROUGE1-R	MRR	Exact match	F1
74_2	0.625000		0.000000	0.578947
74_3	1.000000			
74_4	0.833333		0.000000	0.432432
74_5	0.750000	0.333333	0.000000	0.200000
74_6	1.000000		0.000000	0.111111
74_7	1.000000	0.125000	0.000000	0.135135
74_8	1.000000	0.000000	0.000000	0.240000
74_9	0.833333	0.000000	0.000000	0.051282
74_10	0.857143		0.000000	0.098361
74_11	0.625000		0.000000	0.230769
74_12	0.500000	0.000000	0.000000	0.216216
75_2	1.000000	0.111111	0.000000	0.157895
75_3	0.888889	1.000000	0.000000	0.148148
75_4	1.000000	0.500000	0.000000	0.076923
75_5	1.000000	1.000000	0.000000	0.800000
75_6	1.000000	0.333333	0.000000	0.181818
75_7	0.833333	0.333333	0.000000	0.153846
75_8	1.000000	0.000000	0.000000	0.210526
75_9	0.900000	0.000000	0.000000	0.000000
75_10	0.500000	0.000000	0.000000	0.200000
76_2	1.000000		0.000000	0.256410
76_3	0.800000	0.000000	0.000000	0.071429
76_4	0.857143		0.000000	0.064516
76_5	1.000000	0.250000	0.000000	0.153846
76_6	0.750000		0.000000	0.050000
76_7	1.000000		0.000000	0.206897
76_8	1.000000	0.000000	0.000000	0.122449
76_9	1.000000	0.333333	0.000000	0.084507
76_10	1.000000	1.000000	0.000000	0.146341
77_2	1.000000		0.000000	0.173913
77_3	0.250000	0.142857	0.000000	0.210526
77_4	0.833333	0.000000	0.000000	0.000000
77_5	1.000000	0.000000	0.000000	0.000000
77_6	1.000000	0.333333	0.000000	0.146341
77_7	1.000000		0.000000	0.203390
77_8	1.000000	0.500000	0.000000	0.297872
77_9	1.000000	1.000000	0.000000	0.271605
77_10	1.000000	0.000000	0.000000	0.100000
78_2	1.000000		0.000000	0.166667
78_3	1.000000	0.000000	0.000000	0.370370
78_4	0.750000		0.000000	0.238095
78_5	0.700000	0.000000	0.000000	0.100000
78_6	0.625000		0.000000	0.103448
78_7	1.000000		0.000000	0.212766
78_8	0.857143	0.100000	0.000000	0.218182
78_9	0.666667	0.000000	0.000000	0.413793
